title,salary,company,posted,district,job_description,Career Level,Years of Experience,Company Website,Qualification,Job Type,Job Functions,url
Deep Learning Scientist,salary,Chow Sang Sang Holdings International Limited,2022-11-25,Cheung Sha Wan,"Responsibilities:
Develop and support software including AI systems, database integration, interfaces, and new functionality enhancements
Deploy AI systems to production
Working collaboratively with project manager, machine learning development team, and end-users during the phases of requirement, design and development to ensure quality of deliverables and service
Prepare technical documents and reports
Requirements:
Ph.D holder or Master’s degree in Data Science, Mathematics, Computer Science, Statistics, Physics, Engineering or relevant disciplines
Minimum 3 years of relevant working experience
Proficiency in Python and C/C++
Experience in deploying and monitoring AI/ML models with web and mobile applications
Knowledge in machine learning frameworks, such as TensorFlow, Keras or PyTorch
Experience in RDBMS (e.g. MS SQL, Oracle) and/or NoSQL DB (e.g. MongoDB) is a plus
Able to work independently coupled with strong interpersonal skills
We offer 5-day-work week with competitive remuneration pion packages to the right candidate.  Interested parties please send your CV with EXPECTED SALARY through the below application procedure.
(Personal data will be used by Chow Sang Sang (CSS) for recruitment only.  CSS may refer suitable applications to other vacancies within CSS and its associated companies.  We will retain unsuccessful applications for a maximum period of 24 months.)",Middle,3 years,http://www.chowsangsang.com,Degree,"Full Time, Permanent","Information Technology (IT), Others, Sciences, Lab, R&D, Research & Development (R&D), Data Scientist",https://hk.jobsdb.com/hk/en/job/deep-learning-scientist-100003009889928?jobId=jobsdb-hk-job-100003009889928&sectionRank=177&token=0~4549b35e-3003-4a21-9a51-a86a13838553&searchPath=%2Fhk%2Fjob-list%2Finformation-technology%2Fdata-scientist%2F6
Cloud Data Engineer,salary,PERSOLKELLY Hong Kong Limited,2022-11-25,district,"Our client is a cognitive solutions and cloud platform company headquartered in New York with operations in over 175 countries. They are currently looking for IT project manager to participate their team. 
Job Description
Design and implement data pipeline in cloud environment.
Understand data schema of available data sources
Utilize technologies such as workflow engine to automate data transfer from sources to destination
Design suitable data schema for the data warehouse to enable efficient query and retrieval of data for analytic purposes
Automate & implement CI/CD delivery pipeline
Project Summary
Implement and maintain cloud-based data pipeline related projects
Automate collection and processing of data on the data pipeline
Requirements:
Data processing frameworks - Spark, Hadoop 
Database for big data applications - Hbase, Cassandra, Hive
Cloud based big data services - AWS Dynamo, AWS Athena, AWS Redshift, Google Big Query
At least 2 - 4  years working experience on data processing, analytical related projects.
 At least 4 – 5 years of Banking or Insurance experience, and have exposure to Financial Services industry
Computer science, data analytic, information engineering or related discipline.
Good command of written and spoke English and Cantonese, with strong communication skills
Candidates with more experience will be considered as Senior Engineer
To apply for this position, please send your full resume to Contract_hk @persolkelly.com in word format indicating the job title. If you are not contacted by our consultants within 2 weeks, please consider your application unsuccessful. All applications will be treated in strict confidence and used for recruitment purposes only in accordance with PERSOLKELLY Hong Kong Limited's Privacy Notice.",,3 years,http://www.persolkelly.com.hk,Degree,Full Time,"Information Technology (IT), Application Specialist - Software, Software Development, Data Scientist",https://hk.jobsdb.com/hk/en/job/cloud-data-engineer-100003009888068?jobId=jobsdb-hk-job-100003009888068&sectionRank=178&token=0~4549b35e-3003-4a21-9a51-a86a13838553&searchPath=%2Fhk%2Fjob-list%2Finformation-technology%2Fdata-scientist%2F6
Data Scientist_Bank_22k-30k,salary,Manpower Services (Hong Kong) Limited,2022-11-24,North Point,"Job Duties:
Support the implementation of Data Analytics strategy to provide value-adding insights for enhancing customer experience.
Support to implement the data analytics projects including the design and development of data analytic platform to manage customer value, analytics and modelling in the context of the customer life cycle marketing
Translate business problems into data science projects using analytical techniques and mathematical modeling
Help to plan and execute the development of analytical/machine learning solutions from initial design to model development, model validation, implementation, prototyping and testing
Collaborating with internal and external parties to drive business cases on providing the next best action to customers via omni-channel and deployment capability to achieve the business target

Reqirements:
University graduate major in data science, statistics, quantitative analysis or related discipline
At least 3 years of relevant experience, banking and financial sector is a must
Experienced in predictive modelling, machine learning and advanced statistics solving business problems
Experience with A/B testing, testing & control framework to strive for product / customer experience
Special Skills: - Proficient in SQL & Python for data management and analysis skill",Entry Level,N/A,http://www.manpowergroupgrc.hk,(N/A),Permanent,"Information Technology (IT), DBA, Others, Data Scientist",https://hk.jobsdb.com/hk/en/job/data-scientist_bank_22k-30k-100003009885413?jobId=jobsdb-hk-job-100003009885413&sectionRank=179&token=0~4549b35e-3003-4a21-9a51-a86a13838553&searchPath=%2Fhk%2Fjob-list%2Finformation-technology%2Fdata-scientist%2F6
Database Administrator,salary,China CITIC Bank International Limited,2022-11-25,district,"Responsibilities:
Configuring and maintaining reliable supports of Oracle/ MYSQL/ MSSQL of the large scale enterprise databases
Monitoring database to ensure minimum impacts to database performance
Maintaining the normal database operation including backup and restoration, troubleshooting and SQL performance tuning and monitoring usage etc.
Participating in technical and administration tasks of database upgrade, vulnerability checks, migration and troubleshooting etc.
Assist in SQL optimization and other database performance
Provide DBA support
Requirements:
At least 4 years’ experience as a Database Administrator, with a degree holder or above in Computer Science, Information Technology or related disciplines;
Experience with database software Oracle RAC/ MYSQL master-slave replication/ MSSQL, including analysing performance bottleneck and troubleshooting;
Proficient in database architecture design, installation, migration, and upgrade;
Knowledge of cloud-based database services will be an advantage;
Familiar with Non-SQL data stores, such as Redis will be an advantage; and
Fluent spoken and written in both English and Chinese.
For more details about career opportunities with the Bank, please visit our website http://www.cncbinternational.com/careers/en/index.jsp. Please apply with full resume stating current and expected salaries.
Personal data collected will be used for recruitment related purposes only. Applicants not invited for interview within 6 weeks may consider their applications unsuccessful. However, applicants may be considered for other suitable positions within the Group for a period of not more than 2 years. Personal data will be destroyed at any time after 3 months.
China CITIC Bank International is committed to being an equal opportunities employer and intends to provide a work environment free of unlawful discrimination or harassment. All employment decisions will be made in a non-discriminatory manner.",Middle,4 years,http://www.cncbinternational.com,Degree,"Full Time, Permanent","Information Technology (IT), IT Management, Others, Data Scientist",https://hk.jobsdb.com/hk/en/job/database-administrator-100003009887967?jobId=jobsdb-hk-job-100003009887967&sectionRank=180&token=0~4549b35e-3003-4a21-9a51-a86a13838553&searchPath=%2Fhk%2Fjob-list%2Finformation-technology%2Fdata-scientist%2F6
Oracle Cloud Specialist (Open Budget),salary,IT Consulting Solutions Limited,2022-11-29,Kwai Tsing Area,"Our client is a world’s leading port network, operates in Asia, Middle East, Africa, Europe, America, and Australia. They are building an Oracle team to support on the planning, implementation, testing and maintenance of their internal system. They are currently hiring an Oracle Cloud Specialist to join and provide advise to the system development life cycle.
Responsibilities
Play key role in system development life cycle from requirement study, system analysis and design, program development, testing, implementation to ongoing support for application systems
 Participate or manage pilot, global rollout or upgrade of Cloud application projects
Provide technical advice and solution within the projects
Liaise with other teams to gather user requirements
Requirements
University graduate or equivalent in computing related disciplines
Minimal 3 years relevant Oracle Cloud user support working experience
Practical experience and solid understanding of Oracle E-Business Suite, Hyperion Financial Management, Oracle Fusion applications, and Oracle EPM is essential
Experience in Oracle Cloud implementation and software development
Extensive experience as system developer, hands on programming and system analysis experiences, while looking for opportunities in in-house IT management experiences
Experience in applying SDLC methodologies such as Agile, Waterfall, Lean, Iterative, Prototyping, etc.       
Knowledge of system and software quality assurance best practices and methodologies
Knowledge and development experience on Oracle RDBMS, Oracle PL/SQL
Solid Project management skill
Good command of spoken and written English and Cantonese; able to communicate technical information in a clear and concise manner.
Detailed mind, self-motivated, deadline-driven, and can work under pressure
Experience in Transportation, logistics or ports industry is a plus
More experience applicant will be considered as assistant manager
We offer attractive remuneration package. If you are looking for a career progression, please submit your application and we look forward to having a confidential chat with you.",,,http://www.itcs-group.com,,Contract,"Information Technology (IT), IT Project Management / Team Lead, Software Development, Data Scientist",https://hk.jobsdb.com/hk/en/job/oracle-cloud-specialist-open-budget-100003009896954?jobId=jobsdb-hk-job-100003009896954&sectionRank=151&token=0~4549b35e-3003-4a21-9a51-a86a13838553&searchPath=%2Fhk%2Fjob-list%2Finformation-technology%2Fdata-scientist%2F6
Senior Business Analyst - Supply Chain ERP Application,salary,Maxim's Caterers Ltd,2022-11-28,Lai Chi Kok,"Responsibilities:
Collect and analyze data to help improve supply chain operations
Conduct data extraction, develop reports and prepare Procurement costing performance reports
Prepare presentation material and provide business insights based on data analysis
Assist Business Analysis Manger in ad hoc projects related to supply chain study
Requirements:
Bachelor Degree in Business, Statistics, Accounting or other related disciplines, with at least 3 years of relevant experience in sizable companies, Candidates with financial knowledge / background will be preferrable.
Knowledge in ERP system is preferable
Presentable, detail minded, sensitive to big data, organized and able to work under pressure
Good analytical, interpersonal, communication skills
Proficient in MS Office, especially Microsoft Excel (Marco)
Good command in spoken English and Chinese. Proficient in Mandarin is preferable
Interested parties please apply with full resume, state current and expected salaries by clicking ""Apply Now"". All applications and data collected will be treated in strict confidence and used exclusively for recruitment purposes.  Only short listed candidates will be invited for interview. The company will retain the applications for a maximum period of 24 months and may refer suitable candidates to other vacancies within the Group.",Middle,3 years,http://www.maxims.com.hk,Degree,"Full Time, Permanent","Information Technology (IT), Product Management / Business Analyst, Others, Data Scientist",https://hk.jobsdb.com/hk/en/job/senior-business-analyst-supply-chain-erp-application-100003009892539?jobId=jobsdb-hk-job-100003009892539&sectionRank=152&token=0~4549b35e-3003-4a21-9a51-a86a13838553&searchPath=%2Fhk%2Fjob-list%2Finformation-technology%2Fdata-scientist%2F6
"(Senior) Data Analysis (Banking, 25K-55K)","HK$25,000 - HK$55,000 /month",Manpower Services (Hong Kong) Limited,2022-11-28,Others,"Our client, is now looking for Data Analyst to join within their team. 

Job Description:
Design and deliver data analytics solution for a given use case or business problem statement
Develop algorithms and statistical predictive models to identify business challenges and opportunities, and support developing business strategies
Develop and support analytics data model and conduct data asset management
Develop analytics reports and visualization dashboard for business monitoring and delivering insights
Support business campaign activities and deliver related MIS report
Support the data governance of data platform, including data requirement management, data ingestion management and authorization management
Support ad-hoc analysis request as required
Requirement:
Degree or above in Mathematics, Statistics, Information Technology or relevant disciplines
2+years’ experience relating to data analytics
Proficiency in Python, SAS, R or similar analytically oriented programming languages
Experience with data visualization tools such as Tableau
Banking, Financial Services or FinTech industry experience preferred
Strong analytical mindset and problem solving skills
Excellent communication and presentation skills with good command of
English and Chinese in both spoken and written, including Putonghua
Candidates with less experience will also be considered",Entry Level,2 years,http://www.manpowergroupgrc.hk,(N/A),Contract,"Information Technology (IT), Application Specialist - Network, Others, Data Scientist",https://hk.jobsdb.com/hk/en/job/senior-data-analysis-banking-25k-55k-100003009894391?jobId=jobsdb-hk-job-100003009894391&sectionRank=153&token=0~4549b35e-3003-4a21-9a51-a86a13838553&searchPath=%2Fhk%2Fjob-list%2Finformation-technology%2Fdata-scientist%2F6
"Data Analyst, Marketing, Audio Technology, Inhouse permanent role, European MNC, Ref KIO J078641",salary,Gemini Personnel Limited,2022-11-27,North Point,"Renowned European professional audio technology solutions provider serving both B2B and B2C global clients with global network with offices in Europe and Asia. The company is hiring a to cope with business expansion join the regional HK office.
Bachelor’s degree with 4 years or above relevant experience
Good in Excel for data management and analytics
Passion for data analytics, data modelling and researches competitors products,  price research, channel and user analysis, tends predication, business operation analysis
Nice to have previous experience or knowledge in SAP, Salesforce and other data tools
Good command of English and Chinese
Packages
Double pay,
Bonus
Medical allowance including dental one
WFH and FWH
For confidential discussion, approach Ms. SO at 98651077.",Middle,4 years,http://www.gemini-global.com,Degree,"Full Time, Permanent","Media & Advertising, Strategic Planning, Marketing / Public Relations, Marketing - Market Research, Information Technology (IT), Data Scientist",https://hk.jobsdb.com/hk/en/job/data-analyst-marketing-audio-technology-inhouse-permanent-role-european-mnc-ref-kio-j078641-100003009891744?jobId=jobsdb-hk-job-100003009891744&sectionRank=154&token=0~4549b35e-3003-4a21-9a51-a86a13838553&searchPath=%2Fhk%2Fjob-list%2Finformation-technology%2Fdata-scientist%2F6
Senior Data Engineer / Data Analyst,salary,eCloudvalley Technology (HK) Limited,2022-11-25,Wan Chai,"Job Duties
Build end-to-end data architecture on cloud including data extraction, data transformation and data modeling
Perform high performance data discovery, big data analytics, defining transformation logic and data model
Data mining and statistical techniques to develop insights and transformational outcomes, visualise data and insights
Translating data mining results into a clear business-focused deliverables
Requirements
Strong data analytics experience with proficiency in SQL / Python / R
Passionate in Data and Analytics; Preferably interested in Cloud Technology
Hands-on experience with any of the BI Tools (Tableau / Qlik / Alteryx / PowerBI)",,,,,"Full Time, Permanent","Information Technology (IT), Product Management / Business Analyst, Software Development, Data Scientist",https://hk.jobsdb.com/hk/en/job/senior-data-engineer-data-analyst-100003009890716?jobId=jobsdb-hk-job-100003009890716&sectionRank=182&token=0~9c4079a3-8a12-446b-afd1-5dced3fd05a6&searchPath=%2Fhk%2Fjob-list%2Finformation-technology%2Fdata-scientist%2F7
"Senior Officer / Assistant Manager, Business Analysis",salary,Quality HealthCare Medical Services Ltd,2022-11-25,Ngau Tau Kok,"Job Responsibilities

Team lead for initiatives including business operations, business intelligence, and data visualization
Deliver analytical insights to support business development and data-driven projects through CRM, campaign management, P&L modeling, and KPI monitoring
Gather requirements and collaborate with business units for ad-hoc requests.
 Job Requirements
Degree/Higher diploma in Statistics, Computer Science, Business and/or similar disciplines
At least 3 years of solid experience in business analysis
Detail-oriented and proactive with a strong sense of responsibility and ownership
Strong analytical skills and presentation skills
Experience with business intelligence tools (e.g., Power BI, Cognos, Tableau, Qlik, etc.) or proficiency in database tools (e.g., SQL, Access, Python) is an advantage
Self-learner and passionate to develop insights from massive medical data
Good team player with excellent command of English and Chinese
We offer attractive remuneration and fringe benefits. Interested parties please send your full resume with current salary and expected salary to People Team, Quality HealthCare Medical Services Limited, 6/F, Tower 1 & 2, The Quayside, 77 Hoi Bun Road, Kwun Tong, Kowloon, Hong Kong  or by clicking ""Apply Now"".

Personal data collected will be used for recruitment purposes only. Bupa will be in touch for any opportunities that matches your profile. All personal data of unsuccessful application will be destroyed 24 months from the date of receiving the application. Full version of Data Privacy Notice available upon request.",Middle,3 years,http://www.qhms.com/,Degree,"Full Time, Permanent","Banking / Finance, Analyst, Information Technology (IT), Product Management / Business Analyst, Data Scientist",https://hk.jobsdb.com/hk/en/job/senior-officer-assistant-manager-business-analysis-100003009888546?jobId=jobsdb-hk-job-100003009888546&sectionRank=183&token=0~9c4079a3-8a12-446b-afd1-5dced3fd05a6&searchPath=%2Fhk%2Fjob-list%2Finformation-technology%2Fdata-scientist%2F7
Enterprise Data Analyst (Ref: 220000VX),salary,MTR Corporation Limited,2022-11-25,Kowloon Bay,"Responsibilities
Understand the business needs and perform data analysis from complex datasets to interpret trends or patterns, identify opportunities and threats and provide insights leading to better business decision making
Develop dashboards and business reports to achieve efficient data analysis, as well as provide input and guidance on data visualization techniques to business users
Apply machine learning algorithms and build predictive models to identify business opportunities such as online advertising and propensity modelling
Collaborate with Data Engineer to ensure the data with good quality and governed by company standards to support analytical needs
Conduct research on state-of-the-art technologies, lead the development and deployment of new technologies for generating and analysing information
Act as data and analytics ambassador to promote data and analytics capabilities to business users, educate them in leveraging these capabilities in achieving business goals
Requirements
Degree in Mathematics / Statistics / Data Science / Data Analytics / Information System / Computer Science or a related discipline
A minimum of 5 years’ experience in data analytics, managing the data warehouse, business intelligence, and modelling development
Experience in quantitative analytics, statistical analysis, forecasting/ predictive analytics, machine learning, etc
Proficiency in programming such as SQL / Python and additional experience Azure Data Factory and Databricks is an advantage
Sound experience in data visualisation software (e.g., Power BI) with good business sense
Strong interpersonal, communication and presentation skills with good command of both spoken and written English and Chinese
Applications
You are invited to apply online via http://www.mtr.com.hk/mtr_job_en or send in your CV stating the position (with reference number) you are applying for by mail to Human Resource Management Department, MTR Corporation, G.P.O. Box 9916, Hong Kong on or before 8 December 2022.
For other job openings, please visit MTR Corporation's website for more details.
All information provided by applicants will be treated in strict confidence and used for recruitment purpose only. All personal data of unsuccessful applicants will be retained for 12 months for future recruitment purpose and will then be destroyed.
 ",Middle,5 years,http://www.mtr.com.hk/eng/career/programme.html,Degree,Full Time,"Information Technology (IT), IT Project Management / Team Lead, Data Scientist",https://hk.jobsdb.com/hk/en/job/enterprise-data-analyst-ref%3A-220000vx-100003009888742?jobId=jobsdb-hk-job-100003009888742&sectionRank=184&token=0~9c4079a3-8a12-446b-afd1-5dced3fd05a6&searchPath=%2Fhk%2Fjob-list%2Finformation-technology%2Fdata-scientist%2F7
Senior Backend Engineer - (2200030824),salary,Standard Chartered Bank (Hong Kong) Ltd,2022-12-06,district,"About Mox
Mox is built by and for the ones who aspire to live life to the fullest – we call them Generation Mox!
The name Mox reflects the endless opportunities we can create, - Mobile eXperience; Money eXperience; Money X (multiplier), eXponential growth, eXploration… it’s all up for us to define together.  
Why Mox
Mox helps you grow – your money, your world, your possibilities.  We equip you with the financial management tools, information and insights you need to make your dreams, big or small, come true. 
Everything at Mox – from our products, features, to rewards – is designed based on customer research, tailor made for your needs.   We care about what customers care about, especially in data security and privacy.  Data ethics is core to everyone here at Mox.  
Mox rewards you with an array of banking and lifestyle benefits.  Who says banking can’t be fun? 
Who are we looking for 
Join us in building a virtual bank from scratch using cloud native technologies. We're a fast-growing team solving exciting problems and delivering high quality products in small, interdisciplinary teams. We’re applying the learnings from Google, Twitter and Netflix to build the next generation of banking.
Responsibilities
Greenfield development and the continuous improvement of our existing systems.
Develop RESTful APIs and event driven microservices using Kafka.
Use Kubernetes and Docker to schedule and run microservices.
Write high quality, maintainable code using TDD and DDD.
Our technology stack is predominantly Kotlin but our architecture allows for using the most appropriate language to solve a given problem.
Store data in PostgreSQL and S3.
• Leverage our elastic AWS infrastructure.
• Practice continuous integration and delivery.
• You build it, you run it.
Requirements
Preferably fluent with Kotlin, Java or Scala, but polyglots welcome.
Solid experience in back-end development.
Quick learner with an ambitious and results driven personality.
Self-starter who can work independently.
Work well as part of a team in a fast-paced environment",Middle,,,,"Full Time, Permanent","Information Technology (IT), Application Specialist - Software, DBA, Others",https://hk.jobsdb.com/hk/en/job/senior-backend-engineer-2200030824-100003009913596?jobId=jobsdb-hk-job-100003009913596&sectionRank=1&token=0~dca0d934-46fd-443c-892d-74665f26c6d8&searchPath=%2Fhk%2Fjobs-at%2Fstandard-chartered-bank-hong-kong-ltd-hk100013013%2F1
"Senior Data Scientist, Asia Pacific (Insurance)",salary,Zurich Insurance (Hong Kong),2022-11-25,Quarry Bay,"Job Responsibilities
Lead the development of distinctive analytical and risk insights that deliver improvements in business results and customer experience through the application of advance data science techniques to complex data sets
Drives the development of next-generation, market leading, analytic techniques to build the capabilities of the Data Science Center of Excellence for APAC
Thought leadership and hands-on delivery in predictive modelling, customer analytics, intelligent automation, machine learning, NLP, OCR and AI
Establishes, maintains, and grows strong, collaborative relationships with key internal and external partners; leverages relationships to drive ongoing improvements to the data and data architecture
Lead the implementation of data science initiatives to improve customer engagement, business processes and product enhancements
Play an active role in generating distinctive analytical and risk insights for the most complex and/or strategic business challenges and opportunities, including synthesizing insights into compelling ideas and messages
Complete an in-depth diagnostic of customer needs, issues and business drivers and recommend process and system improvement to enhance customer service
Analyze and review complex data from multiple internal and external sources to make informed, authoritative technical/ professional recommendations in order to improve business performance in the medium and longer term
Job Requirements
Bachelor degree in related fields and 5 or more years of experience in data science, in which minimum 2 years’ experience in unstructured data, including natural language processing, images, voice data, etc., preferably in insurance or financial services industry
Lead and implemented data science use cases and delivered measurable benefits
Advanced knowledge of statistical and predictive modelling techniques such as machine learning, decision tress, probability networks, clustering, neural networks
Expert user in R, Python, and data wrangling packages
Interested parties please simply click ""Apply Now"" to access our ""Global Recruitment Management System"" for submitting your application.
You are invited to visit our web site at: http://www.zurich.com.hk",Middle,5 years,http://www.zurich.com.hk,Degree,"Full Time, Permanent","Professional Services, Business Analysis / Data Analysis, Insurance, Others, Information Technology (IT), Data Scientist",https://hk.jobsdb.com/hk/en/job/senior-data-scientist-asia-pacific-insurance-100003009890643?jobId=jobsdb-hk-job-100003009890643&sectionRank=211&token=0~3ae73a5c-f539-4944-ba71-5fd58d0ed622&searchPath=%2Fhk%2Fjob-list%2Finformation-technology%2Fdata-scientist%2F8
"Manager, Data Architecture and Product",salary,Ambition,2022-11-24,district,"Job Responsibilities
This is a newly created role which you will be responsible for setting up a proper framework to integrate all the existing and new data tech stack. You will build a strong data architecture to ensure data quality, integrity and governance. Working closely with various business stakeholders including but not limited to marketing, CRM, e-commerce and customer services, you will uncover needs and pain points of business users in all data related topics and technologies, and provide recommendations accordingly. You will keep abreast of latest market trends and understand new technologies for data management and identify relevant data solutions for more efficient and impactful data uses. You will work with external vendors to evaluate, identify and implement different data tools appropriate for the business.
Key Requirement
Degree holder in Information Technology, Data Analytics, Computer Science or related discipline with at least 5 years of relevant work experience related to data consulting and product management.
Strong knowledge in latest data products, tools and application is required.
Prior experience working in any B2C businesses including retail, FMCG, e-commerce and consumer good would be a big advantage.
Knowledge in data warehousing and ETL, Python and SQL is a plus but not a must.
Strong communicator with good business acumen and stakeholders management skills.
Proficient in English and Chinese (Cantonese and Mandarin) is a must.
If this job isn't quite right for you, but you know someone who would be great at this role, why not take advantage of our referral scheme? We offer HKD1000 in Apple gift cards for every referred candidate who we place in a role. Terms & Conditions Apply. https://www.ambition.com.hk/refer-a-friend",Senior,3 years,http://www.ambition.com.hk,Degree,"Full Time, Permanent","Information Technology (IT), IT Project Management / Team Lead, Product Management / Business Analyst, Data Scientist",https://hk.jobsdb.com/hk/en/job/manager-data-architecture-and-product-100003009887032?jobId=jobsdb-hk-job-100003009887032&sectionRank=212&token=0~3ae73a5c-f539-4944-ba71-5fd58d0ed622&searchPath=%2Fhk%2Fjob-list%2Finformation-technology%2Fdata-scientist%2F8
Business Intelligence Analyst,salary,Keysoc Limited,2022-11-24,Cheung Sha Wan,"We are now seeking talented Business Intelligence Analyst to join us. The team will involve into various projects, including but not limited to mobile app development and large scale corporate solutions. We provide a comfortable working environment and want everyone in our team to work with joy and passion by enjoying what they are doing.
Responsibilities
Gather, understand and analyse client's requirement to suggest and define tagging plan
Provide implementation support, testing and maintenance
Cooperate with development and QA team to ensure the completeness of data collection
Analyse data to provide business solutions and insights to clients
Design and prepare report
Job Requirement
Degree or above in Computer Science/Engineering or equivalent is preferably
Minimum 2 year experience of analytics
Experienced in Firebase Analytics, BigQuery and SQL is a must
Experienced in Huawei Analytics or DTM is a plus
Certified in Google Analytics is a plus
Team player, responsible, self-motivated and able to accomplish deadlines
Strong communication and analytical skills
Good command of spoken and written English and Chinese
Additional Information
Working Hours: 5-day per week
Location of Work: Cheung Sha Wan
Performance bonus
Medical insurance
Free drinks and snacks
Interested parties, please send us your full resume with your portfolio, availability and expected salary. A shortlist of applicants will be invited for an interview. Join us and have fun.",Middle,2 years,,Degree,"Full Time, Permanent","Professional Services, Business Analysis / Data Analysis, Information Technology (IT), Application Specialist - Software, Data Scientist",https://hk.jobsdb.com/hk/en/job/business-intelligence-analyst-100003009884621?jobId=jobsdb-hk-job-100003009884621&sectionRank=213&token=0~3ae73a5c-f539-4944-ba71-5fd58d0ed622&searchPath=%2Fhk%2Fjob-list%2Finformation-technology%2Fdata-scientist%2F8
Data Engineer / Data Analyst,salary,eCloudvalley Technology (HK) Limited,2022-11-23,Wan Chai,"Job Duties
Build end-to-end data architecture on cloud including data extraction, data transformation and data modeling
Perform high performance data discovery, big data analytics, defining transformation logic and data model
Data mining and statistical techniques to develop insights and transformational outcomes, visualise data and insights
Translating data mining results into a clear business-focused deliverables
Requirements
Strong data analytics experience with proficiency in SQL / Python / R
Passionate in Data and Analytics; Preferably interested in Cloud Technology
Hands-on experience with any of the BI Tools (Tableau / Qlik / Alteryx / PowerBI)",Entry Level,,,,"Full Time, Permanent","Information Technology (IT), Product Management / Business Analyst, Technical / Functional Consulting, Data Scientist",https://hk.jobsdb.com/hk/en/job/data-engineer-data-analyst-100003009882168?jobId=jobsdb-hk-job-100003009882168&sectionRank=214&token=0~3ae73a5c-f539-4944-ba71-5fd58d0ed622&searchPath=%2Fhk%2Fjob-list%2Finformation-technology%2Fdata-scientist%2F8
Senior Data Management & Cloud Architect Lead (Up to $70K + Bonus),salary,IT Consulting Solutions Limited,2022-11-24,Kowloon Bay,"We are seeking a resourceful, experienced Senior Data Management Cloud Architect Lead for a leading transport network corporation in Hong Kong. Candidate with less experience will be considered as Junior Data Management Cloud Engineer.

About ITCS Group
ITCS Group is a global IT Managed Services firm delivering tangible outcomes for our customers.
We are privileged to include some of the world’s largest banks, insurance firms and multinationals as our customers. We also support smaller start-ups and SME's as they aspire to conquer their markets.

We are expanding on a daily basis and if you're looking for the next step in your career, want to be valued as a professional, and endeavor to exceed expectations - then we want to speak with you.

Headquartered in Singapore and strategically located in Hong Kong, Tokyo, the US, Australia, China, and India.
Requirements
University Degree or above in Engineering / Data Science / Computer Science / Information Technology or a related discipline
Certificates with specialty / associate level or above or equivalent for AWS
Professional certificate from Chartered Engineer certificate from Institution of Railway Signal Engineers / Engineering Council / Institution of Engineering and Technology / Institution of Mechanical Engineers or equivalent
Have at least 7 years’ post academic experience in leading / design / implementation / consulting for data management, cloud architecture and data analytics, aiming to ensure high level of data quality and drawing actionable insights from multiple sources of data
Experience and knowledge in leading / design / implementation / consulting the implementation of international and industrial standards in data management on AWS cloud environment (by leveraging AWS cloud computing technologies related to data management in particular S3, Data Sync, SNS, SES, SQS, Dynamo DB, Athena, Lambda, Glue)
Experience in leading / design / implementation / consulting the automatic data pipeline and data quality assurance within AWS platform
Experience in leading / design / implementation / consulting the automatic data pipeline and data quality assurance between AWS and on premises servers / other cloud platforms
Knowledge in various international and industrial standards in data management (e.g. ISO 8000 series, ISO 38505, DAMA Book)
Experience in leading / design / implementation / consulting the use of AWS cloud computing technologies related to analytics (in particular AWS Sage Maker, Kinesis, Athena, Lambda)
Experience in leading / design / implementation / consulting the use of both historical and real-time streaming data from IoT devices and other railway engineering / operations systems for analyses and data visualization, including
         • Abnormality detection
         • Trend analyses
         • Pattern identification analyses
Experience in leading / design / implementation / consulting the use of a combination of statistical modelling, predictive modelling and machine learning modelling for analyses
Have experience in all of the following sets of tools and technology:
         • Programming Language: Python, R, JavaScript, Selenium and RESTful API
         • Data Visualization Software: Tableau
Have experience in working with Agile projects
Fluent in spoken and written English, Cantonese and Mandarin 
 About the role 
Data Management and Cloud Architecture
To lead the development and design, build, test, and maintain highly scalable data management systems on Data Studio Architectural Cloud for historical and real-time streaming data from IoT devices and other railway engineering / operations systems and maintain the databases to ensure the data management process complies with international ISO standards or equivalent

To lead the development and set up and maintain automated data processes and pipelines between Data Studio Architectural Cloud and other parts of Data Studio Cloud Platform 

 Syncing up data between cloud platforms, continuous connection between cloud platforms, checking functions for data quality and availability

To lead, design, manage and housekeep document / source code version for the data management system and pipelines

Data Analytics
To lead the development and design, build, test, and maintain highly scalable data analytic systems on Data Studio Architectural Cloud for historical and real-time streaming data from IoT devices and other railway engineering / operations systems. A combination of statistical modelling, predictive modelling and machine learning modelling shall be applied to power the analytic systems, which may include but not limited to the following:

     • Abnormality detection
     • Trend analyses
     • Pattern identification analyses

To lead the development of and design and create data visualization dashboard and reports to communicate data analytics insights effectively.",Senior,7 years,http://www.itcs-group.com,Degree,"Full Time, Contract","Information Technology (IT), Data Scientist",https://hk.jobsdb.com/hk/en/job/senior-data-management-cloud-architect-lead-up-to-%2470k-bonus-100003009885248?jobId=jobsdb-hk-job-100003009885248&sectionRank=215&token=0~3ae73a5c-f539-4944-ba71-5fd58d0ed622&searchPath=%2Fhk%2Fjob-list%2Finformation-technology%2Fdata-scientist%2F8
