serial_number,activity_date,facility_name,score,grade,service_code,service_description,employee_id,facility_address,facility_city,facility_id,facility_state,facility_zip,owner_id,owner_name,pe_description,program_element_pe,program_name,program_status,record_id
DAWK232NF,2016-02-16,SANCHEZ MEAT MARKET,95,A,1,ROUTINE INSPECTION,EE0000707,4128 S WALL ST,LOS ANGELES,FA0046971,CA,90011,OW0031515,SANCHEZ MEAT MARKET INC,"FOOD MKT RETAIL (25-1,999 SF) HIGH RISK",1612,SANCHEZ MEAT MARKET,ACTIVE,PR0002365
DAKR2XV9T,2018-03-29,BACO MERCAT,98,A,1,ROUTINE INSPECTION,EE0000721,408 S MAIN ST,LOS ANGELES,FA0007784,CA,90013,OW0022942,"MAIN 168 PARTNERS, LP",RESTAURANT (61-150) SEATS HIGH RISK,1638,BACO MERCAT,ACTIVE,PR0038916
DABOFIKQL,2016-06-27,ALI HASAN,99,A,1,ROUTINE INSPECTION,EE0000162,623 N AVENUE 64,LOS ANGELES,FA0003310,CA,90042,OW0011039,ELWIR MOHAMMED,"FOOD MKT RETAIL (25-1,999 SF) LOW RISK",1610,ALI HASAN,ACTIVE,PR0015120
DATMU9FXO,2017-05-04,JINSOL GUKBAP,90,A,1,ROUTINE INSPECTION,EE0001003,4253 W 3RD ST,LOS ANGELES,FA0177785,CA,90020,OW0183683,JH HANGARI INC,RESTAURANT (0-30) SEATS HIGH RISK,1632,JINSOL GUKBAP,ACTIVE,PR0170849
DA4UUF8P0,2017-03-15,ORLEANS ANS YORKS FINE DELI,94,A,1,ROUTINE INSPECTION,EE0000006,4454 W SLAUSON AVE,LOS ANGELES,FA0027196,CA,90043,OW0027020,OTAMAN SAMI,RESTAURANT (0-30) SEATS HIGH RISK,1632,ORLEANS ANS YORKS FINE DELI,ACTIVE,PR0006109
DAQT9YISM,2018-03-28,LA ESPERANZA BAKERY,93,A,1,ROUTINE INSPECTION,EE0001073,252 W FLORENCE AVE,LOS ANGELES,FA0020653,CA,90003,OW0003284,ASTORGA - NEVAREZ JOSE S.,RESTAURANT (0-30) SEATS MODERATE RISK,1631,LA ESPERANZA BAKERY,ACTIVE,PR0037558
DAJVVJESN,2016-12-16,OLYMPIC COLLECTION BUFFET,97,A,1,ROUTINE INSPECTION,EE0000338,11301 W OLYMPIC BLVD STE 204,LOS ANGELES,FA0043137,CA,90064,OW0026741,OLYMPIC COLLECTION INC,RESTAURANT (151 + ) SEATS HIGH RISK,1641,OLYMPIC COLLECTION BUFFET,ACTIVE,PR0013726
DAX3GONFD,2018-03-19,YEN SUSHI & SAKE BAR,90,A,1,ROUTINE INSPECTION,EE0000727,9618 W PICO BLVD STE 509,LOS ANGELES,FA0055665,CA,90035,OW0023835,"MAYC CENTURY, INC.",RESTAURANT (61-150) SEATS HIGH RISK,1638,YEN SUSHI & SAKE BAR,ACTIVE,PR0040520
DATERW8EJ,2015-12-11,STK/BAGATELLE,90,A,1,ROUTINE INSPECTION,EE0000957,755 N LA CIENEGA BLVD,LOS ANGELES,FA0049644,CA,90069,OW0005262,"BRIDGE HOSPITALITY, LLC",RESTAURANT (151 + ) SEATS HIGH RISK,1641,STK/BAGATELLE,INACTIVE,PR0044195
DA43D5RLO,2017-01-09,HOLLYWOOD ROCK CAFE,80,B,1,ROUTINE INSPECTION,EE0000822,6511 HOLLYWOOD BLVD,LOS ANGELES,FA0164076,CA,90028,OW0127540,HOLLYWOOD ROCK CAFE LLC,RESTAURANT (0-30) SEATS MODERATE RISK,1631,HOLLYWOOD ROCK CAFE,INACTIVE,PR0152338
DATKE9ZEY,2016-01-19,MR BOBA,95,A,1,ROUTINE INSPECTION,EE0000869,3805 W 6TH ST,LOS ANGELES,FA0179880,CA,90020,OW0185360,MR BOBA INC,RESTAURANT (31-60) SEATS MODERATE RISK,1634,MR BOBA,INACTIVE,PR0173547
DATEZSINU,2015-09-08,RICKS DRIVE IN & OUT,90,A,1,ROUTINE INSPECTION,EE0000923,2400 FLETCHER DR,LOS ANGELES,FA0069539,CA,90039,OW0024399,"MICHAELS, JOHN",RESTAURANT (61-150) SEATS HIGH RISK,1638,RICKS DRIVE IN & OUT,ACTIVE,PR0022418
DAADMT6C3,2017-12-27,DONUT FACTORY,92,A,1,ROUTINE INSPECTION,EE0000923,2225 N SAN FERNANDO RD,LOS ANGELES,FA0061048,CA,90065,OW0016254,HONG LINA LIM,RESTAURANT (31-60) SEATS MODERATE RISK,1634,DONUT FACTORY,ACTIVE,PR0022711
DAUPHED5G,2016-10-20,CUSTOM HOTEL,97,A,1,ROUTINE INSPECTION,EE0000733,8639 LINCOLN BLVD,LOS ANGELES,FA0159215,CA,90045,OW0124236,"RAR, INC",RESTAURANT (31-60) SEATS HIGH RISK,1635,CUSTOM HOTEL-HANGAR 39,ACTIVE,PR0147277
DAK5HU1GT,2015-07-23,OO KOOK KOREAN BBQ STORAGE,75,C,1,ROUTINE INSPECTION,EE0000854,3385 W 8TH ST,LOS ANGELES,FA0067969,CA,90005,OW0026815,"OO KOOK BBQ, INC",RESTAURANT (151 + ) SEATS HIGH RISK,1641,OO KOOK KOREAN BBQ,ACTIVE,PR0018794
DAH8HMB04,2017-03-13,RESTAURANT AFSHAN CLASSIS,90,A,1,ROUTINE INSPECTION,EE0000721,106 W 9TH ST,LOS ANGELES,FA0045658,CA,90015,OW0003200,"ASHENA, FARAHNAZ",RESTAURANT (0-30) SEATS HIGH RISK,1632,RESTAURANT AFSHAN CLASSIS,ACTIVE,PR0038120
DAWXV9PUE,2017-01-17,MARCE MINI MART,93,A,1,ROUTINE INSPECTION,EE0000729,10032 S HOOVER ST,LOS ANGELES,FA0225472,CA,90044,OW0229734,ROSA I BELTRAN,"FOOD MKT RETAIL (25-1,999 SF) LOW RISK",1610,MARCE MINI MART,ACTIVE,PR0180794
DAFRCSFQN,2016-05-09,SHAKEYS PIZZA PARLOR #1,93,A,1,ROUTINE INSPECTION,EE0000822,7001 SANTA MONICA BLVD,LOS ANGELES,FA0070339,CA,90038,OW0031994,"SCO, LLC SHAKEY'S PIZZA",RESTAURANT (61-150) SEATS HIGH RISK,1638,SHAKEYS PIZZA PARLOR #1,ACTIVE,PR0017786
DA6ZGNHC0,2016-08-12,PACE,94,A,401,OWNER INITIATED ROUTINE INSPECT.,EE0000822,2100 LAUREL CANYON BLVD,LOS ANGELES,FA0043420,CA,90046,OW0031645,SANDRO CORPORATION,RESTAURANT (31-60) SEATS HIGH RISK,1635,PACE,ACTIVE,PR0003721
DA9CRBQZQ,2017-01-10,OK MARKET,92,A,1,ROUTINE INSPECTION,EE0000740,627 N MOTT ST,LOS ANGELES,FA0026986,CA,90033,OW0037461,"VELASCO, CAMILO","FOOD MKT RETAIL (25-1,999 SF) LOW RISK",1610,OK MARKET,ACTIVE,PR0005087
DAZQ44ZHY,2016-02-19,STIR CRAZY COFFEE HOUSE,96,A,1,ROUTINE INSPECTION,EE0000951,6903 MELROSE AVE,LOS ANGELES,FA0049638,CA,90038,OW0036580,"TRUCCO, DEAN A",RESTAURANT (31-60) SEATS MODERATE RISK,1634,STIR CRAZY COFFEE HOUSE,ACTIVE,PR0028019
DASZVY0TV,2015-08-05,KIKKA @ WHOLE FOODS WESTWOOD,96,A,1,ROUTINE INSPECTION,EE0000911,1050 GAYLEY AVE,LOS ANGELES,FA0032299,CA,90024,OW0017151,"ITO, INC.","FOOD MKT RETAIL (25-1,999 SF) HIGH RISK",1612,KIKKA-WHOLE FOODS MARKET #27,ACTIVE,PR0037739
DAJGKJUKE,2016-06-07,YUM YUM DONUTS #9235 STORAGE,91,A,1,ROUTINE INSPECTION,EE0000828,700 N VINE ST,LOS ANGELES,FA0041814,CA,90038,OW0023350,MARIA P. MANRIQUEZ-CHAVEZ,RESTAURANT (0-30) SEATS MODERATE RISK,1631,YUM YUM DONUTS FRANCHISE,ACTIVE,PR0021423
DAFV3G1PQ,2018-01-23,BLOCK PARTY,96,A,1,ROUTINE INSPECTION,EE0000162,5052 YORK BLVD,LOS ANGELES,FA0176891,CA,90042,OW0182885,"BLOCK PARTY HIGHLAND PARK, LLC",RESTAURANT (0-30) SEATS LOW RISK,1630,BLOCK PARTY,ACTIVE,PR0169813
DAAZEJORN,2015-11-06,FIX COFFEE,98,A,1,ROUTINE INSPECTION,EE0000923,2100 ECHO PARK AVE,LOS ANGELES,FA0062112,CA,90026,OW0011918,FIX COFFEE LLC,RESTAURANT (31-60) SEATS MODERATE RISK,1634,FIX COFFEE,INACTIVE,PR0016777
DA0QV6K25,2015-10-02,CHEVRON 55944,95,A,1,ROUTINE INSPECTION,EE0000629,11951 W OLYMPIC BLVD,LOS ANGELES,FA0059613,CA,90064,OW0028894,"POULDAR, BOURIS","FOOD MKT RETAIL (25-1,999 SF) MODERATE RISK",1611,CHEVRON 55944,ACTIVE,PR0042579
DA6QEYADY,2017-07-28,MAMA HONG'S VIETNAMESE KITCHEN,90,A,1,ROUTINE INSPECTION,EE0000727,11819 WILSHIRE BLVD STE 106B,LOS ANGELES,FA0163108,CA,90025,OW0126778,"MAMA'S BOYS RESTAURANTS, INC.",RESTAURANT (61-150) SEATS HIGH RISK,1638,MAMA HONG'S VIETNAMESE KITCHEN,ACTIVE,PR0151283
DAL9QKQYF,2016-08-10,POPEYE DUMPLING AND NOODLES,90,A,1,ROUTINE INSPECTION,EE0000531,709 S VERMONT AVE,LOS ANGELES,FA0139085,CA,90005,OW0102345,"CCC GALBI, INC",RESTAURANT (0-30) SEATS HIGH RISK,1632,POPEYE DUMPLING AND NOODLES,INACTIVE,PR0123466
DA6TFCWEK,2017-03-15,LOUIS JUNIOR,87,B,1,ROUTINE INSPECTION,EE0001073,601 E CENTURY BLVD,LOS ANGELES,FA0022896,CA,90002,OW0022327,LOUIS JR. INC.,RESTAURANT (0-30) SEATS HIGH RISK,1632,LOUIS JUNIOR,INACTIVE,PR0040285
DAHTD877P,2016-05-18,EDIBLE ARRANGEMENTS - 250,97,A,1,ROUTINE INSPECTION,EE0000951,8453 BEVERLY BLVD,LOS ANGELES,FA0202831,CA,90048,OW0180446,CHOUDHRY EMPIRE INC,"FOOD MKT RETAIL (25-1,999 SF) MODERATE RISK",1611,EDIBLE ARRANGEMENTS - 250,ACTIVE,PR0175122
DAZTVYQPB,2017-11-03,CINEMARK,97,A,1,ROUTINE INSPECTION,EE0000955,6081 CENTER DR STE 201,LOS ANGELES,FA0036978,CA,90045,OW0099810,"CINEMARK USA, INC.",RESTAURANT (0-30) SEATS LOW RISK,1630,CINEMARK UPPER SATELLITE CONCESSION,ACTIVE,PR0014171
DAQPWOHIA,2016-01-14,TACO BELL,88,B,1,ROUTINE INSPECTION,EE0000911,10937 WEYBURN AVE,LOS ANGELES,FA0050188,CA,90024,OW0027154,PACIFIC COAST TACO INC,RESTAURANT (31-60) SEATS MODERATE RISK,1634,TACO BELL,ACTIVE,PR0003738
DAGCWWLN2,2017-12-04,SUPERIOR GROCERS #113,90,A,1,ROUTINE INSPECTION,EE0000557,3600 E CESAR E CHAVEZ AVE,LOS ANGELES,FA0049848,CA,90063,OW0034460,"SUPER CENTER CONCEPTS, INC","FOOD MKT RETAIL (2,000+ SF) HIGH RISK",1615,SUPERIOR GROCERS #113 MEAT,ACTIVE,PR0017004
DAUOA7RWS,2017-07-20,THE CARVING BOARD,94,A,1,ROUTINE INSPECTION,EE0000144,11676 GATEWAY BLVD,LOS ANGELES,FA0167867,CA,90064,OW0035493,THE CARVING BOARD LLC,RESTAURANT (31-60) SEATS HIGH RISK,1635,THE CARVING BOARD,ACTIVE,PR0158288
DAAYPPOQI,2017-04-12,EL RANCHON,93,A,1,ROUTINE INSPECTION,EE0000800,3564 S NORMANDIE AVE,LOS ANGELES,FA0021439,CA,90007,OW0031774,"SANTOS, ALEJANDRO",RESTAURANT (0-30) SEATS MODERATE RISK,1631,EL RANCHON,ACTIVE,PR0029155
DASLXGID0,2018-02-16,STONE BAKERY/MARKET,96,A,1,ROUTINE INSPECTION,EE0000729,6700 S CRENSHAW BLVD,LOS ANGELES,FA0049647,CA,90043,OW0033240,"SMITH, ASTON","FOOD MKT RETAIL (25-1,999 SF) HIGH RISK",1612,STONE BAKERY/MARKET,ACTIVE,PR0010701
DAN0CTZJH,2017-06-26,GREEN HOUSE,93,A,1,ROUTINE INSPECTION,EE0000740,1100 S SAN PEDRO ST # N1,LOS ANGELES,FA0026662,CA,90015,OW0019245,"KIM, EUN H",RESTAURANT (0-30) SEATS MODERATE RISK,1631,GREEN HOUSE,ACTIVE,PR0034617
DAZKVQGKL,2017-09-20,LUPE'S LUNCH ROOM RESTAURANT,91,A,1,ROUTINE INSPECTION,EE0000366,1198 MIRASOL ST,LOS ANGELES,FA0037636,CA,90023,OW0040166,"ZARGOZA, JULIAN ET AL",RESTAURANT (0-30) SEATS HIGH RISK,1632,LUPE'S LUNCH ROOM RESTAURANT,ACTIVE,PR0021476
DAMPH24VE,2016-07-06,SKY BAR,97,A,1,ROUTINE INSPECTION,EE0000721,545 S FIGUEROA ST,LOS ANGELES,FA0033346,CA,90071,OW0008390,"CLUB,JONATHAN",RESTAURANT (61-150) SEATS MODERATE RISK,1637,SKY BAR,ACTIVE,PR0018990
DAGIAY0DK,2015-10-06,USC GALEN CENTER,97,A,1,ROUTINE INSPECTION,EE0000122,3400 S FIGUEROA ST,LOS ANGELES,FA0024368,CA,90089,OW0002904,ARAMARK HIGHER EDUCATION,RESTAURANT (0-30) SEATS MODERATE RISK,1631,GALEN CENTER FOUNDERS CLUB,ACTIVE,PR0018095
DAIP7J6BV,2015-09-24,DODGER STADIUM,98,A,1,ROUTINE INSPECTION,EE0000122,1000 VIN SCULLY AVE,LOS ANGELES,FA0019271,CA,90012,OW0021606,LEVY PREMIUM FOOD SERVICE LP,RESTAURANT (0-30) SEATS MODERATE RISK,1631,#751 DODGER DOG TRADITIONAL,ACTIVE,PR0001290
DAWLWMGBW,2017-01-18,PAT & LORRAINEIS COFFEE SHOP,96,A,1,ROUTINE INSPECTION,EE0000746,4720 EAGLE ROCK BLVD,LOS ANGELES,FA0044045,CA,90041,OW0030528,"RODRIGUEZ, JUAN",RESTAURANT (31-60) SEATS HIGH RISK,1635,PAT & LORRAINEIS COFFEE SHOP,ACTIVE,PR0027299
DADBV07N5,2015-08-28,THE VEGGIE GRILL,94,A,1,ROUTINE INSPECTION,EE0000709,6374 W SUNSET BLVD STE #A,LOS ANGELES,FA0037704,CA,90028,OW0035777,"THE VEGGIE GRILL, INC.",RESTAURANT (61-150) SEATS HIGH RISK,1638,THE VEGGIE GRILL,ACTIVE,PR0038769
DAZFLQM7T,2017-11-28,TRIPLE 8 RESTAURANT,80,B,1,ROUTINE INSPECTION,EE0000122,800 W OLYMPIC BLVD # 120,LOS ANGELES,FA0174143,CA,90015,OW0180848,TRIPLE 8 REST. LLC,RESTAURANT (61-150) SEATS HIGH RISK,1638,TRIPLE 8 RESTAURANT,ACTIVE,PR0167012
DA0LT7D8E,2017-02-02,CHUY'S MARKET,94,A,1,ROUTINE INSPECTION,EE0000557,4145 E MICHIGAN AVE,LOS ANGELES,FA0163483,CA,90063,OW0022124,LOPEZ JESUS ARCEO,"FOOD MKT RETAIL (25-1,999 SF) LOW RISK",1610,CHUY'S MARKET,ACTIVE,PR0151701
DAZQUN6EQ,2016-01-29,WATTS COFFEE HOUSE,95,A,1,ROUTINE INSPECTION,EE0000195,1827 E 103RD ST,LOS ANGELES,FA0040463,CA,90002,OW0038506,"WATTS HEALTH SYSTEMS, INC.",RESTAURANT (31-60) SEATS HIGH RISK,1635,WATTS COFFEE HOUSE,ACTIVE,PR0026040
DAZYQ72LW,2017-08-30,DENNY'S RESTAURANT #2125,92,A,1,ROUTINE INSPECTION,EE0000923,3060 N SAN FERNANDO RD,LOS ANGELES,FA0060791,CA,90065,OW0009769,DENNY'S INC,RESTAURANT (151 + ) SEATS HIGH RISK,1641,DENNY'S RESTAURANT #2125,ACTIVE,PR0037296
DATQQ0QA0,2016-08-10,TRIMANA,90,A,1,ROUTINE INSPECTION,EE0000375,1900 AVENUE OF THE STARS STE A100,LOS ANGELES,FA0177415,CA,90067,OW0183342,MARTIN CHO,RESTAURANT (31-60) SEATS MODERATE RISK,1634,TRIMANA,ACTIVE,PR0170410
DAYPKQLK2,2016-10-18,IN-N-OUT BURGER #119,98,A,1,ROUTINE INSPECTION,EE0000911,922 GAYLEY AVE,LOS ANGELES,FA0017989,CA,90024,OW0016998,"IN-N-OUT BURGERS, INC.",RESTAURANT (61-150) SEATS MODERATE RISK,1637,IN N OUT BURGER #119,ACTIVE,PR0029696
DA0KP420J,2016-03-22,MCCALL'S MEAT & FISH CO,97,A,1,ROUTINE INSPECTION,EE0000846,2117 HILLHURST AVE,LOS ANGELES,FA0038316,CA,90027,OW0020671,"L'AMI RESTAURANT, LLC","FOOD MKT RETAIL (25-1,999 SF) HIGH RISK",1612,MCCALL'S MEAT & FISH CO,ACTIVE,PR0027097
DA3MTF1Q2,2016-03-21,SSCM MARKET,92,A,1,ROUTINE INSPECTION,EE0000799,6021 COMPTON AVE,LOS ANGELES,FA0177194,CA,90001,OW0183152,MARITZA QUADALUPE MEJIA,"FOOD MKT RETAIL (25-1,999 SF) HIGH RISK",1612,SSCM MARKET,ACTIVE,PR0170157
DAEF6HXMZ,2017-06-27,CAVA MEZZE GRILL,90,A,1,ROUTINE INSPECTION,EE0000911,1073 BROXTON AVE,LOS ANGELES,FA0245691,CA,90024,OW0239351,CAVA MEZZE GRILL LLC,RESTAURANT (31-60) SEATS HIGH RISK,1635,CAVA MEZZE GRILL,ACTIVE,PR0194063
DANTDIERN,2016-02-12,DON PEDRO'S PALENQUE,98,A,1,ROUTINE INSPECTION,EE0000740,4501 HUNTINGTON DR N,LOS ANGELES,FA0157974,CA,90032,OW0123080,ROSA PENTERIA,RESTAURANT (31-60) SEATS HIGH RISK,1635,DON PEDRO'S PALENQUE,ACTIVE,PR0146070
DAZIN5FQ6,2017-04-13,IMPERIAL CHOPSTICKS,93,A,1,ROUTINE INSPECTION,EE0000846,1549 N VERMONT AVE,LOS ANGELES,FA0242612,CA,90027,OW0238202,IMPERIAL CHOPSTICKS,RESTAURANT (0-30) SEATS HIGH RISK,1632,IMPERIAL CHOPSTICKS,ACTIVE,PR0190804
DADGFIOOS,2018-02-02,PAILIN THAI CUISINE,96,A,1,ROUTINE INSPECTION,EE0000857,5621 HOLLYWOOD BLVD,LOS ANGELES,FA0043473,CA,90028,OW0023444,"MARKKERN, CHIRAWAT",RESTAURANT (0-30) SEATS HIGH RISK,1632,PAILIN THAI CUISINE,ACTIVE,PR0001644
DAVVK5VMT,2017-01-24,FLORENCE GAS MART INC,98,A,1,ROUTINE INSPECTION,EE0001025,303 W FLORENCE AVE,LOS ANGELES,FA0174643,CA,90003,OW0181284,FLORENCE GAS MART INC,"FOOD MKT RETAIL (25-1,999 SF) LOW RISK",1610,FLORENCE GAS MART INC,ACTIVE,PR0167672
DAXZFDA7H,2016-01-12,LITTLE ETHIOPIA RESTAURANT,92,A,1,ROUTINE INSPECTION,EE0000853,1048 S FAIRFAX AVE,LOS ANGELES,FA0022252,CA,90019,OW0036638,TSEDAL NOEL INC,RESTAURANT (31-60) SEATS HIGH RISK,1635,LITTLE ETHIOPIA RESTAURANT,ACTIVE,PR0025086
DADXYKFDG,2016-05-17,WOLFGANG PUCK EXPRESS,96,A,1,ROUTINE INSPECTION,EE0000117,308 WESTWOOD PLZ # 1390L,LOS ANGELES,FA0138414,CA,90024,OW0101772,UCLAWP LLC,RESTAURANT (151 + ) SEATS HIGH RISK,1641,WOLFGANG PUCK EXPRESS,ACTIVE,PR0122727
DAOLSATVU,2016-05-14,YOSHINOYA #1219,94,A,1,ROUTINE INSPECTION,EE0000884,642 S ALVARADO ST,LOS ANGELES,FA0055756,CA,90057,OW0101581,"YOSHINOYA AMERICA, INC.",RESTAURANT (31-60) SEATS MODERATE RISK,1634,YOSHINOYA BEEF BOWL,ACTIVE,PR0028245
DATBVL4LF,2016-07-01,CANTER'S DELI,92,A,1,ROUTINE INSPECTION,EE0000951,419 N FAIRFAX AVE,LOS ANGELES,FA0059112,CA,90036,OW0006057,CANTERS INC,"FOOD MKT RETAIL (25-1,999 SF) HIGH RISK",1612,CANTER'S DELI,ACTIVE,PR0044261
DARBXBOQJ,2016-05-27,FLAME BROILER TRBK #80,96,A,1,ROUTINE INSPECTION,EE0000733,8730 1/4 S SEPULVEDA BLVD,LOS ANGELES,FA0023270,CA,90045,OW0036921,UNITED VJ INC.,RESTAURANT (0-30) SEATS HIGH RISK,1632,FLAME BROILER TRBK #80,ACTIVE,PR0002002
DAAO1CPVT,2016-09-08,ICHIBAN OF TOKYO,92,A,1,ROUTINE INSPECTION,EE0001058,201 N LOS ANGELES ST STE 106,LOS ANGELES,FA0063821,CA,90012,OW0019494,"KIM, SUSAN JONGSUN",RESTAURANT (0-30) SEATS HIGH RISK,1632,ICHIBAN OF TOKYO,ACTIVE,PR0015815
DA21EKKC5,2015-10-30,HOTEL SOFITEL L A RESTAURANT,90,A,401,OWNER INITIATED ROUTINE INSPECT.,EE0000957,8555 W BEVERLY BLVD,LOS ANGELES,FA0063714,CA,90048,OW0022271,LOS ANGELES MAISON INC,RESTAURANT (151 + ) SEATS HIGH RISK,1641,HOTEL SOFITEL L A RESTAURANT,ACTIVE,PR0010977
DAO8YGAGY,2016-09-06,USC GALEN CENTER,99,A,1,ROUTINE INSPECTION,EE0000122,3400 S FIGUEROA ST,LOS ANGELES,FA0024368,CA,90089,OW0002904,ARAMARK HIGHER EDUCATION,RESTAURANT (0-30) SEATS MODERATE RISK,1631,GALEN CENTER-EVENT GRILL,ACTIVE,PR0026107
DAVPD2WXO,2016-02-09,DEL REY LIQUOR,98,A,1,ROUTINE INSPECTION,EE0001064,8503 S VERMONT AVE,LOS ANGELES,FA0167157,CA,90044-3425,OW0100369,GIFTII SHIFERAW JATE,"FOOD MKT RETAIL (25-1,999 SF) LOW RISK",1610,DEL REY LIQUOR,ACTIVE,PR0157507
DABMRGAUM,2016-05-16,TACOS EL UNICO,91,A,1,ROUTINE INSPECTION,EE0000729,6650 S CRENSHAW BLVD,LOS ANGELES,FA0036147,CA,90018,OW0031601,"SANCHEZ, MANUEL E",RESTAURANT (0-30) SEATS MODERATE RISK,1631,TACOS EL UNICO,ACTIVE,PR0009197
DA00ATT2D,2016-10-06,FIVE STAR CHINESE FOOD,97,A,1,ROUTINE INSPECTION,EE0000740,2706 N BROADWAY,LOS ANGELES,FA0062108,CA,90031,OW0007348,CHEN YANZHEN,RESTAURANT (0-30) SEATS HIGH RISK,1632,FIVE STAR CHINESE FOOD,ACTIVE,PR0012755
DAZVZSMH3,2017-10-30,SOUPLANTATION,97,A,1,ROUTINE INSPECTION,EE0000727,11911 SAN VICENTE BLVD STE 116,LOS ANGELES,FA0245109,CA,90049,OW0240226,"GARDEN FRESH RESTAURANTS, LLC",RESTAURANT (151 + ) SEATS HIGH RISK,1641,SOUPLANTATION,ACTIVE,PR0193485
DA7XYDTWV,2017-09-26,LUPE'S TACO STAND,93,A,1,ROUTINE INSPECTION,EE0001049,4642 E 3RD ST,LOS ANGELES,FA0037638,CA,90022,OW0006269,"CARRILLO, JOHN ANTHONY",RESTAURANT (0-30) SEATS HIGH RISK,1632,LUPE'S TACO STAND,ACTIVE,PR0035581
DAHZWAM9W,2015-12-01,EL RINCON DE LAS DELICIAS,95,A,1,ROUTINE INSPECTION,EE0001025,5810 S NORMANDIE AVE STE #1B,LOS ANGELES,FA0012633,CA,90044,OW0026880,"ORELLANA, MARIA SALOME",RESTAURANT (0-30) SEATS HIGH RISK,1632,EL RINCON DE LAS DELICIAS,INACTIVE,PR0000117
DAM6G6UTH,2016-05-31,CARNICERIA LA OAXAQUENA,91,A,1,ROUTINE INSPECTION,EE0000854,3701 W PICO BLVD,LOS ANGELES,FA0013280,CA,90019,OW0006224,"CARNICERIA LA OAXAQUENA, INC",RESTAURANT (0-30) SEATS HIGH RISK,1632,CARNICERIA LA OAXAQUENA,ACTIVE,PR0021738
DA04JN3OX,2016-11-18,FRANKLIN 76,94,A,1,ROUTINE INSPECTION,EE0000697,6051 FRANKLIN AVE,LOS ANGELES,FA0062291,CA,90028,OW0039975,YRT INC,"FOOD MKT RETAIL (25-1,999 SF) LOW RISK",1610,FRANKLIN 76,ACTIVE,PR0038909
DA0861139,2017-05-26,99 CENTS ONLY STORE #0375,99,A,1,ROUTINE INSPECTION,EE0000955,6921 LA TIJERA BLVD,LOS ANGELES,FA0138249,CA,90045,OW0001414,"99 CENT ONLY STORES, LLC","FOOD MKT RETAIL (25-1,999 SF) LOW RISK",1610,99 CENTS ONLY STORES #0375,ACTIVE,PR0122526
DAMRDIXCE,2016-02-25,MOJO,91,A,1,ROUTINE INSPECTION,EE0000951,8051 BEVERLY BLVD,LOS ANGELES,FA0138412,CA,90048,OW0101770,"JOHNSON & SHADLE, LLC.",RESTAURANT (0-30) SEATS MODERATE RISK,1631,MOJO,ACTIVE,PR0122725
DABFMFDH3,2017-05-10,TAVERN,94,A,1,ROUTINE INSPECTION,EE0000727,11648 SAN VICENTE BLVD,LOS ANGELES,FA0036590,CA,90049,OW0034151,"SUCAR, INC.",RESTAURANT (151 + ) SEATS HIGH RISK,1641,TAVERN,ACTIVE,PR0015696
DA0FNTTNN,2016-01-25,DON LENCHO,90,A,1,ROUTINE INSPECTION,EE0000729,6119 S NORMANDIE AVE,LOS ANGELES,FA0019520,CA,90044,OW0006623,"CEBALLOS, PAULA",RESTAURANT (0-30) SEATS HIGH RISK,1632,DON LENCHO,ACTIVE,PR0015178
DABSCQM5B,2015-09-15,PHORAGE,92,A,1,ROUTINE INSPECTION,EE0000015,3300 OVERLAND AVE STE 105,LOS ANGELES,FA0068050,CA,90034,OW0100101,"CHEUNG, PERRY",RESTAURANT (31-60) SEATS HIGH RISK,1635,,ACTIVE,PR0048044
DANYAXWN1,2016-02-12,HARRIS MARKET,97,A,1,ROUTINE INSPECTION,EE0000195,10624 JUNIPER ST,LOS ANGELES,FA0027836,CA,90002,OW0032589,"SHIELDS, BEVERLY L","FOOD MKT RETAIL (25-1,999 SF) HIGH RISK",1612,HARRIS MARKET,INACTIVE,PR0035788
DAJKOQTOO,2016-05-11,WESTIN LAKEVIEW BISTRO,93,A,1,ROUTINE INSPECTION,EE0000721,404 S FIGUEROA ST LBBY LOBBY,LOS ANGELES,FA0073897,CA,90071,OW0016394,HOTEL BONAVENTURE LTD PARTNE,RESTAURANT (151 + ) SEATS HIGH RISK,1641,WESTIN LAKEVIEW BISTRO,ACTIVE,PR0022795
DASJI4LUR,2017-12-29,STREET CHURROS,93,A,1,ROUTINE INSPECTION,EE0000835,6801 HOLLYWOOD BLVD # 253,LOS ANGELES,FA0224109,CA,90028,OW0228670,"STREETCHURROS, INC",RESTAURANT (0-30) SEATS LOW RISK,1630,STREET CHURROS,ACTIVE,PR0179282
DAN8ZCKX0,2016-12-01,STREET CHURROS,91,A,1,ROUTINE INSPECTION,EE0000835,6801 HOLLYWOOD BLVD # 253,LOS ANGELES,FA0224109,CA,90028,OW0228670,"STREETCHURROS, INC",RESTAURANT (0-30) SEATS LOW RISK,1630,STREET CHURROS,ACTIVE,PR0179282
DAMRHB5OS,2016-06-16,STREET CHURROS,94,A,1,ROUTINE INSPECTION,EE0000835,6801 HOLLYWOOD BLVD # 253,LOS ANGELES,FA0224109,CA,90028,OW0228670,"STREETCHURROS, INC",RESTAURANT (0-30) SEATS LOW RISK,1630,STREET CHURROS,ACTIVE,PR0179282
